layer,head,importance,example_id,n_shots,prompt
1,0,0.033893585205078125,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
3,5,0.010162353515625,521,2,"Is 4055 > 7546? Answer: No
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
0,0,0.7790908813476562,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
1,7,0.7237510681152344,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
0,7,0.6890373229980469,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
1,1,0.6797370910644531,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
0,6,0.6648063659667969,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
3,7,0.5254631042480469,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
3,0,0.5187339782714844,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
1,2,0.45597076416015625,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
2,1,0.4384803771972656,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
5,5,0.4328880310058594,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
2,2,0.23225021362304688,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
5,7,0.2206573486328125,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
4,1,0.21906280517578125,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
2,7,0.17600250244140625,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
2,6,0.16535186767578125,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
5,2,0.15870285034179688,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
0,3,0.14783859252929688,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
4,3,0.10955810546875,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
1,6,0.08835983276367188,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
4,7,0.08587265014648438,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
0,5,0.07661819458007812,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
3,1,0.06505203247070312,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
5,1,0.060390472412109375,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
1,0,0.02075958251953125,737,2,"Is 7740 > 2273? Answer: Yes
Is 4055 > 7546? Answer: No
Is 3648 > 56? Answer:"
0,0,1.1523857116699219,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
1,1,0.7493629455566406,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
1,7,0.7254371643066406,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
3,7,0.5861587524414062,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
2,1,0.5661849975585938,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
2,7,0.5477180480957031,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
3,0,0.5382080078125,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
5,5,0.39846038818359375,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
0,5,0.35987091064453125,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
1,2,0.3013496398925781,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
5,7,0.2777557373046875,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
1,6,0.2691802978515625,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
4,1,0.25164031982421875,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
2,6,0.24773406982421875,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
0,3,0.1977691650390625,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
2,2,0.1900787353515625,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
0,6,0.18095779418945312,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
5,2,0.15006637573242188,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
4,7,0.14249420166015625,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
0,7,0.13701248168945312,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
1,0,0.1260833740234375,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
3,1,0.0893096923828125,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
4,3,0.050868988037109375,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
5,1,0.034816741943359375,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
4,6,0.021930694580078125,740,2,"Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer: Yes
Is 4055 > 7546? Answer:"
0,0,0.8561630249023438,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
1,1,0.8349342346191406,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
1,7,0.8178329467773438,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
3,7,0.762847900390625,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
3,0,0.6570358276367188,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
2,7,0.53759765625,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
2,1,0.5107498168945312,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
2,2,0.40622711181640625,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
5,5,0.40618133544921875,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
0,6,0.395965576171875,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
2,6,0.37075042724609375,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
1,2,0.34148406982421875,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
4,1,0.3112449645996094,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
5,7,0.2950439453125,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
1,6,0.2500953674316406,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
4,7,0.17127227783203125,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
5,2,0.1590118408203125,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
0,7,0.13738632202148438,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
0,3,0.1303253173828125,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
4,3,0.11479949951171875,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
1,0,0.11193084716796875,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
3,1,0.06267929077148438,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
5,4,0.0482940673828125,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
5,1,0.036102294921875,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
3,5,0.020496368408203125,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
4,6,0.015804290771484375,660,2,"Is 3648 > 56? Answer: Yes
Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer:"
0,0,1.2003936767578125,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
1,7,0.8313674926757812,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
1,1,0.7842483520507812,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
3,7,0.661651611328125,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
2,7,0.5882606506347656,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
3,0,0.4691925048828125,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
5,5,0.4154014587402344,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
2,6,0.4033470153808594,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
1,2,0.38141632080078125,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
0,6,0.3294563293457031,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
1,6,0.29837799072265625,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
2,1,0.2963409423828125,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
4,1,0.2589263916015625,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
5,7,0.239288330078125,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
2,2,0.22690200805664062,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
4,3,0.1712493896484375,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
5,2,0.1646881103515625,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
0,3,0.127716064453125,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
4,7,0.10638046264648438,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
0,7,0.0926513671875,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
1,0,0.08490371704101562,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
3,6,0.08137130737304688,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
3,1,0.062000274658203125,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
5,4,0.040630340576171875,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
5,1,0.0305328369140625,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
4,6,0.0225372314453125,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
3,5,0.01676177978515625,411,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 9115 > 982? Answer:"
