a,b,label,base_pred,steered_pred,base_yes_logp,base_no_logp,base_margin,steered_yes_logp,steered_no_logp,steered_margin,margin_shift,flipped,base_correct,steered_correct,alpha_resid,alpha_head5,alpha_head7,layer
82,58,Yes,Yes,Yes,-5.95703125,-8.984375,3.02734375,-5.9375,-10.2578125,4.3203125,1.29296875,0,1,1,0.0,4.0,-12.0,24
18,33,No,No,No,-8.9765625,-6.546875,-2.4296875,-7.18359375,-6.64453125,-0.5390625,1.890625,0,1,1,0.0,4.0,-12.0,24
17,31,No,No,Yes,-8.9765625,-6.6796875,-2.296875,-6.7421875,-6.9609375,0.21875,2.515625,1,1,0,0.0,4.0,-12.0,24
95,71,Yes,Yes,Yes,-6.0390625,-9.2421875,3.203125,-6.11328125,-10.6484375,4.53515625,1.33203125,0,1,1,0.0,4.0,-12.0,24
68,33,Yes,Yes,Yes,-6.15625,-9.546875,3.390625,-6.25,-10.9140625,4.6640625,1.2734375,0,1,1,0.0,4.0,-12.0,24
95,74,Yes,Yes,Yes,-5.77734375,-9.0859375,3.30859375,-5.8515625,-10.5625,4.7109375,1.40234375,0,1,1,0.0,4.0,-12.0,24
54,74,No,No,No,-8.84375,-6.515625,-2.328125,-7.2109375,-6.4375,-0.7734375,1.5546875,0,1,1,0.0,4.0,-12.0,24
51,46,Yes,Yes,Yes,-6.12109375,-9.84375,3.72265625,-6.1796875,-11.0625,4.8828125,1.16015625,0,1,1,0.0,4.0,-12.0,24
28,17,Yes,Yes,Yes,-5.90234375,-9.484375,3.58203125,-5.90234375,-10.6796875,4.77734375,1.1953125,0,1,1,0.0,4.0,-12.0,24
65,63,Yes,Yes,Yes,-5.9609375,-8.8671875,2.90625,-6.0234375,-10.359375,4.3359375,1.4296875,0,1,1,0.0,4.0,-12.0,24
11,96,No,No,Yes,-9.15625,-7.3515625,-1.8046875,-7.203125,-7.796875,0.59375,2.3984375,1,1,0,0.0,4.0,-12.0,24
6,14,No,No,No,-9.1796875,-6.5234375,-2.65625,-7.25390625,-6.68359375,-0.5703125,2.0859375,0,1,1,0.0,4.0,-12.0,24
19,80,No,No,Yes,-8.53125,-6.609375,-1.921875,-6.53125,-7.2265625,0.6953125,2.6171875,1,1,0,0.0,4.0,-12.0,24
20,87,No,No,No,-9.5078125,-7.08984375,-2.41796875,-7.3828125,-7.109375,-0.2734375,2.14453125,0,1,1,0.0,4.0,-12.0,24
54,76,No,No,No,-9.234375,-6.59375,-2.640625,-7.55078125,-6.43359375,-1.1171875,1.5234375,0,1,1,0.0,4.0,-12.0,24
8,49,No,No,No,-9.1796875,-6.6953125,-2.484375,-7.296875,-6.8125,-0.484375,2.0,0,1,1,0.0,4.0,-12.0,24
48,76,No,No,No,-8.8125,-6.73828125,-2.07421875,-6.92578125,-6.83984375,-0.0859375,1.98828125,0,1,1,0.0,4.0,-12.0,24
59,67,No,No,No,-9.453125,-6.375,-3.078125,-8.578125,-6.17578125,-2.40234375,0.67578125,0,1,1,0.0,4.0,-12.0,24
32,70,No,No,Yes,-8.40625,-6.25390625,-2.15234375,-6.37109375,-6.66015625,0.2890625,2.44140625,1,1,0,0.0,4.0,-12.0,24
1,87,No,No,Yes,-7.83984375,-6.20703125,-1.6328125,-6.046875,-6.9375,0.890625,2.5234375,1,1,0,0.0,4.0,-12.0,24
92,14,Yes,Yes,Yes,-6.33984375,-6.94921875,0.609375,-5.828125,-9.2890625,3.4609375,2.8515625,0,1,1,0.0,4.0,-12.0,24
87,68,Yes,Yes,Yes,-5.8828125,-9.34375,3.4609375,-5.9453125,-10.59375,4.6484375,1.1875,0,1,1,0.0,4.0,-12.0,24
96,34,Yes,Yes,Yes,-6.08984375,-8.65625,2.56640625,-6.02734375,-10.109375,4.08203125,1.515625,0,1,1,0.0,4.0,-12.0,24
98,82,Yes,Yes,Yes,-5.87890625,-8.375,2.49609375,-5.79296875,-9.8984375,4.10546875,1.609375,0,1,1,0.0,4.0,-12.0,24
43,14,Yes,Yes,Yes,-5.9765625,-9.3671875,3.390625,-5.953125,-10.515625,4.5625,1.171875,0,1,1,0.0,4.0,-12.0,24
37,55,No,No,Yes,-8.28125,-6.1171875,-2.1640625,-6.3828125,-6.3984375,0.015625,2.1796875,1,1,0,0.0,4.0,-12.0,24
20,58,No,No,Yes,-9.3671875,-7.2890625,-2.078125,-7.3046875,-7.5390625,0.234375,2.3125,1,1,0,0.0,4.0,-12.0,24
0,92,No,No,Yes,-8.46875,-6.46875,-2.0,-6.3984375,-7.203125,0.8046875,2.8046875,1,1,0,0.0,4.0,-12.0,24
92,33,Yes,Yes,Yes,-5.984375,-8.6328125,2.6484375,-5.9375,-10.015625,4.078125,1.4296875,0,1,1,0.0,4.0,-12.0,24
64,97,No,No,No,-9.265625,-7.1640625,-2.1015625,-7.65625,-7.015625,-0.640625,1.4609375,0,1,1,0.0,4.0,-12.0,24
22,64,No,No,No,-8.859375,-6.4609375,-2.3984375,-7.4453125,-6.3984375,-1.046875,1.3515625,0,1,1,0.0,4.0,-12.0,24
13,80,No,No,Yes,-8.109375,-6.84375,-1.265625,-6.3203125,-7.8515625,1.53125,2.796875,1,1,0,0.0,4.0,-12.0,24
38,81,No,No,No,-8.90625,-6.76171875,-2.14453125,-7.125,-6.71875,-0.40625,1.73828125,0,1,1,0.0,4.0,-12.0,24
64,77,No,No,No,-8.765625,-6.4765625,-2.2890625,-7.359375,-6.421875,-0.9375,1.3515625,0,1,1,0.0,4.0,-12.0,24
25,19,Yes,Yes,Yes,-6.29296875,-10.5859375,4.29296875,-6.28515625,-11.484375,5.19921875,0.90625,0,1,1,0.0,4.0,-12.0,24
47,97,No,No,No,-9.25,-7.1953125,-2.0546875,-7.7890625,-7.1015625,-0.6875,1.3671875,0,1,1,0.0,4.0,-12.0,24
20,69,No,No,Yes,-9.1875,-7.1953125,-1.9921875,-7.0703125,-7.3203125,0.25,2.2421875,1,1,0,0.0,4.0,-12.0,24
99,67,Yes,Yes,Yes,-5.88671875,-9.7578125,3.87109375,-5.9921875,-10.9140625,4.921875,1.05078125,0,1,1,0.0,4.0,-12.0,24
0,76,No,No,Yes,-9.8125,-7.88671875,-1.92578125,-7.3515625,-8.65625,1.3046875,3.23046875,1,1,0,0.0,4.0,-12.0,24
41,62,No,No,No,-8.6875,-6.69140625,-1.99609375,-6.87890625,-6.73046875,-0.1484375,1.84765625,0,1,1,0.0,4.0,-12.0,24
2,14,No,No,Yes,-7.92578125,-6.01953125,-1.90625,-6.20703125,-6.83984375,0.6328125,2.5390625,1,1,0,0.0,4.0,-12.0,24
46,39,Yes,Yes,Yes,-6.26953125,-10.1015625,3.83203125,-6.29296875,-11.140625,4.84765625,1.015625,0,1,1,0.0,4.0,-12.0,24
30,7,Yes,Yes,Yes,-6.3359375,-7.21875,0.8828125,-5.9609375,-9.8125,3.8515625,2.96875,0,1,1,0.0,4.0,-12.0,24
30,72,No,No,No,-9.3984375,-6.95703125,-2.44140625,-7.62109375,-6.87890625,-0.7421875,1.69921875,0,1,1,0.0,4.0,-12.0,24
10,10,No,No,Yes,-8.3046875,-6.33984375,-1.96484375,-6.5859375,-7.3671875,0.78125,2.74609375,1,1,0,0.0,4.0,-12.0,24
93,62,Yes,Yes,Yes,-5.828125,-8.828125,3.0,-5.875,-10.375,4.5,1.5,0,1,1,0.0,4.0,-12.0,24
8,97,No,No,No,-9.484375,-6.23046875,-3.25390625,-8.484375,-6.07421875,-2.41015625,0.84375,0,1,1,0.0,4.0,-12.0,24
68,98,No,No,No,-9.0234375,-7.02734375,-1.99609375,-7.4765625,-6.875,-0.6015625,1.39453125,0,1,1,0.0,4.0,-12.0,24
16,16,No,No,Yes,-7.73046875,-6.35546875,-1.375,-6.4921875,-7.2421875,0.75,2.125,1,1,0,0.0,4.0,-12.0,24
84,60,Yes,Yes,Yes,-5.90625,-8.8515625,2.9453125,-5.875,-10.2265625,4.3515625,1.40625,0,1,1,0.0,4.0,-12.0,24
70,21,Yes,Yes,Yes,-6.19140625,-9.0,2.80859375,-6.1015625,-10.40625,4.3046875,1.49609375,0,1,1,0.0,4.0,-12.0,24
33,67,No,No,No,-9.5078125,-6.90234375,-2.60546875,-7.65234375,-6.68359375,-0.96875,1.63671875,0,1,1,0.0,4.0,-12.0,24
77,54,Yes,Yes,Yes,-5.91015625,-8.9921875,3.08203125,-5.92578125,-10.3203125,4.39453125,1.3125,0,1,1,0.0,4.0,-12.0,24
27,69,No,No,No,-9.5390625,-7.265625,-2.2734375,-7.83203125,-7.04296875,-0.7890625,1.484375,0,1,1,0.0,4.0,-12.0,24
96,93,Yes,Yes,Yes,-5.859375,-8.125,2.265625,-5.76953125,-9.65625,3.88671875,1.62109375,0,1,1,0.0,4.0,-12.0,24
88,25,Yes,Yes,Yes,-5.96875,-8.0078125,2.0390625,-5.8203125,-9.6640625,3.84375,1.8046875,0,1,1,0.0,4.0,-12.0,24
91,39,Yes,Yes,Yes,-6.140625,-9.265625,3.125,-6.12109375,-10.5703125,4.44921875,1.32421875,0,1,1,0.0,4.0,-12.0,24
51,85,No,No,Yes,-8.671875,-6.74609375,-1.92578125,-6.73828125,-7.03515625,0.296875,2.22265625,1,1,0,0.0,4.0,-12.0,24
83,47,Yes,Yes,Yes,-5.88671875,-9.7421875,3.85546875,-5.90234375,-10.5625,4.66015625,0.8046875,0,1,1,0.0,4.0,-12.0,24
56,66,No,No,No,-9.1484375,-6.45703125,-2.69140625,-8.015625,-6.3046875,-1.7109375,0.98046875,0,1,1,0.0,4.0,-12.0,24
57,15,Yes,Yes,Yes,-5.93359375,-8.4140625,2.48046875,-5.890625,-10.0859375,4.1953125,1.71484375,0,1,1,0.0,4.0,-12.0,24
31,28,Yes,Yes,Yes,-5.7734375,-9.6171875,3.84375,-5.79296875,-10.703125,4.91015625,1.06640625,0,1,1,0.0,4.0,-12.0,24
8,43,No,No,No,-9.0625,-6.6953125,-2.3671875,-6.984375,-6.8359375,-0.1484375,2.21875,0,1,1,0.0,4.0,-12.0,24
2,75,No,No,Yes,-7.984375,-5.9375,-2.046875,-6.28125,-6.3125,0.03125,2.078125,1,1,0,0.0,4.0,-12.0,24
70,29,Yes,Yes,Yes,-6.03515625,-9.296875,3.26171875,-6.046875,-10.6640625,4.6171875,1.35546875,0,1,1,0.0,4.0,-12.0,24
75,28,Yes,Yes,Yes,-5.83203125,-8.578125,2.74609375,-5.77734375,-10.0703125,4.29296875,1.546875,0,1,1,0.0,4.0,-12.0,24
0,9,No,No,No,-8.65625,-6.05078125,-2.60546875,-6.75,-6.484375,-0.265625,2.33984375,0,1,1,0.0,4.0,-12.0,24
90,80,Yes,Yes,Yes,-6.05078125,-10.0,3.94921875,-6.0390625,-11.1171875,5.078125,1.12890625,0,1,1,0.0,4.0,-12.0,24
7,29,No,No,Yes,-8.7109375,-6.3359375,-2.375,-6.58984375,-6.78515625,0.1953125,2.5703125,1,1,0,0.0,4.0,-12.0,24
8,4,Yes,Yes,Yes,-6.43359375,-10.359375,3.92578125,-6.40625,-11.625,5.21875,1.29296875,0,1,1,0.0,4.0,-12.0,24
42,9,Yes,Yes,Yes,-6.27734375,-7.98046875,1.703125,-6.0859375,-10.15625,4.0703125,2.3671875,0,1,1,0.0,4.0,-12.0,24
65,30,Yes,Yes,Yes,-6.26953125,-9.3515625,3.08203125,-6.22265625,-10.8203125,4.59765625,1.515625,0,1,1,0.0,4.0,-12.0,24
35,85,No,No,Yes,-8.765625,-6.8359375,-1.9296875,-6.8515625,-7.0859375,0.234375,2.1640625,1,1,0,0.0,4.0,-12.0,24
62,27,Yes,Yes,Yes,-5.89453125,-9.1171875,3.22265625,-5.8828125,-10.328125,4.4453125,1.22265625,0,1,1,0.0,4.0,-12.0,24
69,16,Yes,Yes,Yes,-6.06640625,-8.2578125,2.19140625,-5.9375,-9.921875,3.984375,1.79296875,0,1,1,0.0,4.0,-12.0,24
92,73,Yes,Yes,Yes,-5.85546875,-8.6484375,2.79296875,-5.83203125,-10.0390625,4.20703125,1.4140625,0,1,1,0.0,4.0,-12.0,24
73,60,Yes,Yes,Yes,-5.83984375,-9.1015625,3.26171875,-5.88671875,-10.4296875,4.54296875,1.28125,0,1,1,0.0,4.0,-12.0,24
31,60,No,No,Yes,-8.40625,-6.21875,-2.1875,-6.20703125,-6.70703125,0.5,2.6875,1,1,0,0.0,4.0,-12.0,24
52,24,Yes,Yes,Yes,-5.9140625,-9.421875,3.5078125,-5.91796875,-10.6484375,4.73046875,1.22265625,0,1,1,0.0,4.0,-12.0,24
12,12,No,No,Yes,-8.1328125,-6.25,-1.8828125,-6.5859375,-7.09375,0.5078125,2.390625,1,1,0,0.0,4.0,-12.0,24
84,55,Yes,Yes,Yes,-5.7421875,-8.59375,2.8515625,-5.73828125,-10.0,4.26171875,1.41015625,0,1,1,0.0,4.0,-12.0,24
45,54,No,No,No,-9.3515625,-6.515625,-2.8359375,-8.0546875,-6.35546875,-1.69921875,1.13671875,0,1,1,0.0,4.0,-12.0,24
52,59,No,No,No,-8.5078125,-5.8203125,-2.6875,-6.59765625,-6.01171875,-0.5859375,2.1015625,0,1,1,0.0,4.0,-12.0,24
93,6,Yes,No,Yes,-6.796875,-6.609375,-0.1875,-5.921875,-8.78125,2.859375,3.046875,1,0,1,0.0,4.0,-12.0,24
86,83,Yes,Yes,Yes,-5.8046875,-8.140625,2.3359375,-5.7109375,-9.703125,3.9921875,1.65625,0,1,1,0.0,4.0,-12.0,24
82,12,Yes,Yes,Yes,-6.3515625,-6.609375,0.2578125,-5.77734375,-9.140625,3.36328125,3.10546875,0,1,1,0.0,4.0,-12.0,24
7,51,No,No,Yes,-9.2578125,-7.046875,-2.2109375,-7.0859375,-7.1875,0.1015625,2.3125,1,1,0,0.0,4.0,-12.0,24
93,43,Yes,Yes,Yes,-5.9296875,-8.8125,2.8828125,-5.90234375,-10.171875,4.26953125,1.38671875,0,1,1,0.0,4.0,-12.0,24
13,31,No,No,No,-8.875,-6.38671875,-2.48828125,-6.9765625,-6.453125,-0.5234375,1.96484375,0,1,1,0.0,4.0,-12.0,24
24,24,No,No,Yes,-7.6953125,-6.2578125,-1.4375,-6.484375,-6.9296875,0.4453125,1.8828125,1,1,0,0.0,4.0,-12.0,24
68,57,Yes,Yes,Yes,-5.9609375,-9.546875,3.5859375,-6.0703125,-10.8671875,4.796875,1.2109375,0,1,1,0.0,4.0,-12.0,24
17,54,No,No,No,-9.296875,-6.9765625,-2.3203125,-7.55078125,-6.96484375,-0.5859375,1.734375,0,1,1,0.0,4.0,-12.0,24
23,35,No,No,No,-8.796875,-6.5078125,-2.2890625,-6.81640625,-6.71484375,-0.1015625,2.1875,0,1,1,0.0,4.0,-12.0,24
59,31,Yes,Yes,Yes,-6.12890625,-9.40625,3.27734375,-6.1953125,-10.703125,4.5078125,1.23046875,0,1,1,0.0,4.0,-12.0,24
9,56,No,No,No,-9.765625,-7.28515625,-2.48046875,-7.75,-7.2890625,-0.4609375,2.01953125,0,1,1,0.0,4.0,-12.0,24
70,12,Yes,Yes,Yes,-6.2578125,-7.0703125,0.8125,-5.8125,-9.6015625,3.7890625,2.9765625,0,1,1,0.0,4.0,-12.0,24
6,83,No,No,No,-9.578125,-6.79296875,-2.78515625,-8.109375,-6.6171875,-1.4921875,1.29296875,0,1,1,0.0,4.0,-12.0,24
69,1,Yes,No,Yes,-7.40234375,-6.77734375,-0.625,-6.125,-8.390625,2.265625,2.890625,1,0,1,0.0,4.0,-12.0,24
11,96,No,No,Yes,-9.15625,-7.3515625,-1.8046875,-7.203125,-7.796875,0.59375,2.3984375,1,1,0,0.0,4.0,-12.0,24
30,21,Yes,Yes,Yes,-6.015625,-10.0390625,4.0234375,-6.046875,-11.15625,5.109375,1.0859375,0,1,1,0.0,4.0,-12.0,24
52,62,No,No,No,-8.2265625,-6.140625,-2.0859375,-6.609375,-6.2890625,-0.3203125,1.765625,0,1,1,0.0,4.0,-12.0,24
61,27,Yes,Yes,Yes,-6.04296875,-9.28125,3.23828125,-6.03125,-10.5,4.46875,1.23046875,0,1,1,0.0,4.0,-12.0,24
51,7,Yes,No,Yes,-7.00390625,-6.47265625,-0.53125,-6.0078125,-8.9921875,2.984375,3.515625,1,0,1,0.0,4.0,-12.0,24
21,48,No,No,No,-9.671875,-7.1171875,-2.5546875,-7.7734375,-7.0390625,-0.734375,1.8203125,0,1,1,0.0,4.0,-12.0,24
0,49,No,No,Yes,-8.25,-6.47265625,-1.77734375,-6.32421875,-7.23046875,0.90625,2.68359375,1,1,0,0.0,4.0,-12.0,24
33,58,No,No,Yes,-8.9609375,-6.87890625,-2.08203125,-6.88671875,-7.03515625,0.1484375,2.23046875,1,1,0,0.0,4.0,-12.0,24
36,54,No,No,No,-9.3515625,-6.66015625,-2.69140625,-7.8828125,-6.484375,-1.3984375,1.29296875,0,1,1,0.0,4.0,-12.0,24
89,93,No,No,No,-8.8359375,-6.125,-2.7109375,-7.32421875,-6.18359375,-1.140625,1.5703125,0,1,1,0.0,4.0,-12.0,24
71,84,No,No,No,-9.0703125,-6.421875,-2.6484375,-7.16796875,-6.34765625,-0.8203125,1.828125,0,1,1,0.0,4.0,-12.0,24
91,62,Yes,Yes,Yes,-5.90234375,-8.8046875,2.90234375,-5.87890625,-10.28125,4.40234375,1.5,0,1,1,0.0,4.0,-12.0,24
19,24,No,No,No,-8.96875,-6.16015625,-2.80859375,-6.875,-6.5234375,-0.3515625,2.45703125,0,1,1,0.0,4.0,-12.0,24
37,27,Yes,Yes,Yes,-5.7109375,-8.5859375,2.875,-5.7109375,-10.140625,4.4296875,1.5546875,0,1,1,0.0,4.0,-12.0,24
